narrator,questType,instanceIndex,seed,location,targetFlavour,timeOfDay,requiredCount,len,self_bleu,cover_any,cover_exact,latencyMs,jsonValid,usedFallback,title,description
TemplateRandom,DefeatCount,3,42003,芦苇城下,手持火铳的雇佣兵,正午,4,53,0.8483,3,3,0,True,False,清剿之令,正午，探子自前线归来，芦苇城下附近聚集了 4 名手持火铳的雇佣兵。
LLM,DefeatCount,3,42003,芦苇城下,手持火铳的雇佣兵,正午,4,148,0.4712,3,3,3232,True,False,烈日下的火铳,正午的芦苇城下，阳光炙烤着石板路。手持火铳的雇佣兵们把守着城门，他们仗着西洋火器横行无忌，饮下瀑布之水的迹象在他们眼中闪烁——这些人与怪物无异。影子必须清理这些障碍，为主人开辟道路。
Template,DefeatCount,4,42004,被焚毁的村落,侵略军的足轻,深夜,2,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 2 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,4,42004,被焚毁的村落,侵略军的足轻,深夜,2,58,0.8072,3,3,0,True,False,边境警讯,深夜，哨所燃起狼烟，被焚毁的村落一带有 2 名侵略军的足轻盘踞不去。
LLM,DefeatCount,4,42004,被焚毁的村落,侵略军的足轻,深夜,2,141,0.4265,3,3,3792,True,False,夜袭残村,深夜，被焚毁的村落中火光未熄，侵略军的足轻仍在废墟中搜寻战利品。你伏在暗处，看着这些践踏国土的家伙，心中怒火与冷静并存——必须无声地清除他们，以免惊动更多敌人。
Template,DefeatCount,5,42005,芦苇城下,饮过瀑布之水的怪物,大雪初霁,7,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 7 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,5,42005,芦苇城下,饮过瀑布之水的怪物,大雪初霁,7,65,0.8405,3,3,0,True,False,清剿之令,大雪初霁，芦苇城下传来骚动，7 名饮过瀑布之水的怪物正在芦苇城下为祸乡里。
LLM,DefeatCount,5,42005,芦苇城下,饮过瀑布之水的怪物,大雪初霁,7,145,0.5826,3,2,3430,True,False,雪霁城下,大雪初霁，芦苇城下银装素裹。然而，那些饮过瀑布之水的村民已化为失去理智的怪物，在雪地中徘徊。他们的眼中只有对“不死”的渴望，却早已忘却了人性。影子必须清除这些威胁，才能接近被困在城中的神子。
Template,DefeatCount,6,42006,被焚毁的村落,失去理智的武士,拂晓时分,5,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 5 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,6,42006,被焚毁的村落,失去理智的武士,拂晓时分,5,66,0.8817,3,3,0,True,False,边境警讯,拂晓时分，芦苇之国边境传来急报，被焚毁的村落附近聚集了 5 名失去理智的武士。
LLM,DefeatCount,6,42006,被焚毁的村落,失去理智的武士,拂晓时分,5,211,0.4508,3,2,4539,True,False,拂晓的追迹,拂晓的微光洒在被焚毁的村落上，残垣断壁间弥漫着焦土与血腥的气息。失去理智的武士们在废墟中徘徊，他们的眼睛空洞无神，口中发出含混的嘶吼——饮下瀑布之水后，他们已不再是捍卫国家的战士，而是渴求血肉的怪物。忍者“影子”矗立在黑烟中，握紧忍具，准备为神子扫清前路的障碍。
Template,DefeatCount,7,42007,芦苇城下,敌国的斥候,黄昏,3,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 3 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,7,42007,芦苇城下,敌国的斥候,黄昏,3,57,0.9309,3,3,0,True,False,清剿之令,黄昏，村中长老递来口信，芦苇城下一带有 3 名敌国的斥候盘踞不去。
LLM,DefeatCount,7,42007,芦苇城下,敌国的斥候,黄昏,3,144,0.4572,3,3,3966,True,False,肃清城下斥候,黄昏的余晖洒在芦苇城下，敌国的斥候借着暮色潜入。他们可能是来探查神子的下落，或是为了染指瀑布的不死之水。影子必须赶在夜幕完全降临前清除这些威胁，为神子扫清障碍。
Template,DefeatCount,8,42008,结冰的池畔,芦苇之国的叛兵,雨夜,7,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 7 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,8,42008,结冰的池畔,芦苇之国的叛兵,雨夜,7,57,0.7949,3,3,0,True,False,除贼,雨夜，神子身边的侍从传令，探得 7 名芦苇之国的叛兵埋伏于结冰的池畔。
LLM,DefeatCount,8,42008,结冰的池畔,芦苇之国的叛兵,雨夜,7,111,0.4964,3,3,5345,True,False,雨夜池畔的叛军,雨夜，结冰的池畔。芦苇之国的叛兵们聚集在此，他们饮下了瀑布之水，眼中闪烁着疯狂的光芒。必须清除这些走卒，才能继续前进。
Template,DefeatCount,9,42009,荒废的寺庙,侵略军的足轻,拂晓时分,5,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 5 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,9,42009,荒废的寺庙,侵略军的足轻,拂晓时分,5,58,0.8736,3,3,0,True,False,境内除患,拂晓时分，芦苇之国边境传来急报，已有 5 名侵略军的足轻潜入荒废的寺庙。
LLM,DefeatCount,9,42009,荒废的寺庙,侵略军的足轻,拂晓时分,5,207,0.3673,3,0,5175,True,False,拂晓之寺的肃清,拂晓的微光透过破败的屋顶，照亮了荒废寺庙内侵略军足轻的身影。他们正贪婪地搜寻着与不死瀑布有关的线索，全然不知死亡已悄然逼近。影子从阴影中现身，刀刃映出晨光——这些被永生欲望驱使的士兵，必须为他们的侵略付出代价。
Template,DefeatCount,10,42010,结冰的池畔,饮过瀑布之水的怪物,黄昏,3,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 3 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,10,42010,结冰的池畔,饮过瀑布之水的怪物,黄昏,3,80,0.8103,3,3,0,True,False,除贼,黄昏，村中长老递来口信，3 名饮过瀑布之水的怪物正在结冰的池畔威胁着村民。
LLM,DefeatCount,10,42010,结冰的池畔,饮过瀑布之水的怪物,黄昏,3,163,0.3483,3,2,5234,True,False,冰池诛邪,黄昏时分，结冰的池畔倒映着血色的残阳。那些曾为追求‘不死’而饮下瀑布水的村民，早已沦为失去理智的怪物，在冰面上游荡。若不阻止它们，让这股疯狂蔓延，芦苇之国将再无宁日。
Template,DefeatCount,11,42011,荒废的寺庙,敌国的斥候,深夜,8,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 8 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,11,42011,荒废的寺庙,敌国的斥候,深夜,8,55,0.6838,3,3,0,True,False,境内除患,深夜，哨所燃起狼烟，探得 8 名敌国的斥候埋伏于荒废的寺庙。
LLM,DefeatCount,11,42011,荒废的寺庙,敌国的斥候,深夜,8,142,0.4731,3,3,4136,True,False,夜袭荒寺斥候,深夜，荒废的寺庙在月光下投下斑驳的阴影。你潜行于残垣断壁之间，发现敌国的斥候已将此作为临时据点。他们的存在可能危及你主人的藏身之处。你必须无声地清除这些耳目，确保行踪不露。
Template,DefeatCount,12,42012,结冰的池畔,手持火铳的雇佣兵,大雪初霁,6,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 6 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,12,42012,结冰的池畔,手持火铳的雇佣兵,大雪初霁,6,73,0.8817,3,3,0,True,False,除贼,大雪初霁，芦苇城下传来骚动，已有 6 名手持火铳的雇佣兵潜入结冰的池畔。
LLM,DefeatCount,12,42012,结冰的池畔,手持火铳的雇佣兵,大雪初霁,6,212,0.3352,3,3,8015,True,False,雪霁火铳,大雪初霁，刺骨寒风掠过结冰的池畔，几缕硝烟在冷空气中弥散。不远处，一群手持火铳的雇佣兵正围着篝火取暖，他们从远方而来，听闻不死之水的传说，便在此扎营打探。这些外来者不仅觊觎瀑布的力量，更威胁着神子的行踪。影子必须趁他们立足未稳，将其逐一清除。
Template,DefeatCount,13,42013,竹林小径,芦苇之国的叛兵,正午,4,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 4 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,13,42013,竹林小径,芦苇之国的叛兵,正午,4,58,0.7082,3,3,0,True,False,肃清来犯,正午，探子自前线归来，竹林小径附近聚集了 4 名芦苇之国的叛兵。
LLM,DefeatCount,13,42013,竹林小径,芦苇之国的叛兵,正午,4,146,0.3839,3,2,4094,True,False,竹林小径的伏击,正午的烈日穿过竹林，投下斑驳光影。你——影子，追踪着叛兵的踪迹，这些芦苇之国的士兵已堕落为侵略者的走狗，或许也在贪求那不死之水。他们潜伏在这条小径上，显然是接到了阻截你的命令。
Template,DefeatCount,14,42014,敌军的哨所,侵略军的足轻,深夜,2,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 2 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,14,42014,敌军的哨所,侵略军的足轻,深夜,2,51,0.8636,3,3,0,True,False,平乱,深夜，哨所燃起狼烟，敌军的哨所一带有 2 名侵略军的足轻盘踞不去。
LLM,DefeatCount,14,42014,敌军的哨所,侵略军的足轻,深夜,2,182,0.4206,3,2,4601,True,False,无声的哨所,深夜，芦苇之国的边境哨所被侵略军的足轻占据。你藏身于暗处，看见这些喝了瀑布之水的敌兵——他们眼中泛着不正常的狂热，但尚未完全丧失理智。你的主人神子说：“不死”的诅咒必须被斩断。而要靠近敌将，必须先扫清这些哨兵。
Template,DefeatCount,15,42015,竹林小径,失去理智的武士,雨夜,7,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 7 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,15,42015,竹林小径,失去理智的武士,雨夜,7,66,0.8115,3,3,0,True,False,肃清来犯,雨夜，神子身边的侍从传令，7 名失去理智的武士正在竹林小径为祸乡里。
LLM,DefeatCount,15,42015,竹林小径,失去理智的武士,雨夜,7,133,0.5444,3,2,3591,True,False,竹雨斩邪,雨夜，竹林小径。昔日英武的武士们因渴饮瀑布之水而化为失智的怪物，在雨中嘶吼徘徊。他们已忘却忠义，只余杀戮之念。你必须穿过这条小径，但唯有击倒所有堕落的武士，才能继续前行。
Template,DefeatCount,16,42016,敌军的哨所,敌国的斥候,拂晓时分,5,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 5 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,16,42016,敌军的哨所,敌国的斥候,拂晓时分,5,60,0.827,3,3,0,True,False,平乱,拂晓时分，芦苇之国边境传来急报，敌军的哨所附近聚集了 5 名敌国的斥候。
LLM,DefeatCount,16,42016,敌军的哨所,敌国的斥候,拂晓时分,5,110,0.4613,3,1,3601,True,False,拂晓哨所之袭,拂晓时分，你潜至敌军哨所，斥候们刚换岗，警惕性正低。你必须趁着天色未明，悄无声息地解决这些耳目，为主人的行动扫清障碍。
Template,DefeatCount,17,42017,竹林小径,手持火铳的雇佣兵,黄昏,3,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 3 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,17,42017,竹林小径,手持火铳的雇佣兵,黄昏,3,63,0.8794,3,3,0,True,False,肃清来犯,黄昏，村中长老递来口信，竹林小径一带有 3 名手持火铳的雇佣兵盘踞不去。
LLM,DefeatCount,17,42017,竹林小径,手持火铳的雇佣兵,黄昏,3,156,0.4934,3,3,4319,True,False,竹林伏击,黄昏时分，竹林小径上，手持火铳的雇佣兵们正在巡逻。他们的枪口在斜阳下闪着寒光，显然是为了阻截任何前往神子所在方向的人。你必须悄无声息地清除这些障碍，才能继续你的忍务。
Template,DefeatCount,18,42018,敌军的哨所,侵略军的足轻,雨夜,7,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 7 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,18,42018,敌军的哨所,侵略军的足轻,雨夜,7,54,0.9159,3,3,0,True,False,平乱,雨夜，神子身边的侍从传令，探得 7 名侵略军的足轻埋伏于敌军的哨所。
LLM,DefeatCount,18,42018,敌军的哨所,侵略军的足轻,雨夜,7,146,0.4298,3,2,3490,True,False,夜袭哨所,趁着雨夜，你潜入敌军设立的哨所。侵略军的足轻们围在篝火旁取暖，对即将到来的危险浑然不觉。芦苇之国的瀑布之水让这些外敌也变得贪婪，他们渴望征服这片土地，夺取不死之秘。是时候让他们付出代价了。
Template,DefeatCount,19,42019,断崖边的栈道,饮过瀑布之水的怪物,大雪初霁,5,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 5 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,19,42019,断崖边的栈道,饮过瀑布之水的怪物,大雪初霁,5,70,0.84,3,3,0,True,False,剿敌任务,大雪初霁，芦苇城下传来骚动，已有 5 名饮过瀑布之水的怪物潜入断崖边的栈道。
LLM,DefeatCount,19,42019,断崖边的栈道,饮过瀑布之水的怪物,大雪初霁,5,157,0.5443,3,2,3647,True,False,雪径除魔,大雪初霁，断崖边的栈道覆满银白。那些饮下瀑布之水的怪物，在雪中徘徊，喉咙里发出非人的低吼。影子握紧苦无，脚下积雪发出咯吱声响——这些已经失去理智的亡魂，必须被清除。
Template,DefeatCount,20,42020,瀑布下的水潭,失去理智的武士,正午,3,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 3 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,20,42020,瀑布下的水潭,失去理智的武士,正午,3,63,0.7964,3,3,0,True,False,讨伐委托,正午，探子自前线归来，3 名失去理智的武士正在瀑布下的水潭威胁着村民。
LLM,DefeatCount,20,42020,瀑布下的水潭,失去理智的武士,正午,3,164,0.5155,3,2,3627,True,False,瀑布下的疯狂武士,正午的烈日穿透瀑布的水雾，在水潭上折射出刺目的光。那些饮下不死之水的武士，如今已彻底失去理智，像野兽般徘徊在水边。他们的眼中再无荣耀，只剩对鲜血的渴望。为了救出神子，你必须穿过这片被诅咒的水域。
Template,DefeatCount,21,42021,断崖边的栈道,敌国的斥候,深夜,8,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 8 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,21,42021,断崖边的栈道,敌国的斥候,深夜,8,65,0.8143,3,3,0,True,False,剿敌任务,深夜，哨所燃起狼烟，探得 8 名敌国的斥候埋伏于断崖边的栈道。
LLM,DefeatCount,21,42021,断崖边的栈道,敌国的斥候,深夜,8,175,0.4241,3,3,3683,True,False,断崖夜袭,深夜，你潜行于断崖边的栈道之上。远处敌国的斥候小队正举着火把巡逻，他们似乎也在寻找什么——或许是芦苇之国那传说中能让人不死的瀑布之水。你不禁冷笑：那些水只会让人变成怪物。但此刻，你无暇多想，神子还在等着你去解救。眼前的敌兵，必须悄无声息地清理干净。
Template,DefeatCount,22,42022,瀑布下的水潭,芦苇之国的叛兵,大雪初霁,6,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 6 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,22,42022,瀑布下的水潭,芦苇之国的叛兵,大雪初霁,6,61,0.8354,3,3,0,True,False,讨伐委托,大雪初霁，芦苇城下传来骚动，已有 6 名芦苇之国的叛兵潜入瀑布下的水潭。
LLM,DefeatCount,22,42022,瀑布下的水潭,芦苇之国的叛兵,大雪初霁,6,248,0.3316,3,3,5025,True,False,雪霁潭畔叛兵退,大雪初霁，瀑布下的水潭泛起诡异的涟漪。芦苇之国的叛兵们狂饮了瀑布之水，眼泛红光，嘶吼着向你扑来——他们已彻底失去理智，沦为渴求杀戮的怪物。这些叛徒甘愿抛弃人性以换取虚幻的永生，却不知那是通往毁灭的捷径。影子，杀出一条血路，让这寒气混合着血腥，涤荡叛军的疯狂。
Template,DefeatCount,23,42023,断崖边的栈道,侵略军的足轻,拂晓时分,4,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 4 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,23,42023,断崖边的栈道,侵略军的足轻,拂晓时分,4,59,0.8569,3,3,0,True,False,剿敌任务,拂晓时分，芦苇之国边境传来急报，断崖边的栈道附近聚集了 4 名侵略军的足轻。
LLM,DefeatCount,23,42023,断崖边的栈道,侵略军的足轻,拂晓时分,4,187,0.3615,3,2,4441,True,False,拂晓栈道截击,拂晓的雾霭尚未散尽，断崖边的栈道上传来杂乱的脚步声。侵略军的足轻们正沿着险峻的山道攀爬，意图绕后包抄神子殿下的藏身处。影子握紧手里剑，深吸一口晨雾中微带血腥的气息——必须在此处将敌人尽数截下，绝不能让他们越过这道天险。
Template,DefeatCount,24,42024,芦苇城下,饮过瀑布之水的怪物,黄昏,2,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 2 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,24,42024,芦苇城下,饮过瀑布之水的怪物,黄昏,2,72,0.8725,3,3,0,True,False,清剿之令,黄昏，村中长老递来口信，芦苇城下一带有 2 名饮过瀑布之水的怪物盘踞不去。
LLM,DefeatCount,24,42024,芦苇城下,饮过瀑布之水的怪物,黄昏,2,137,0.4565,3,2,3500,True,False,城下暮影,黄昏的芦苇城下，被瀑布之水侵蚀心智的怪物正徘徊于阴影之间。它们曾是渴求永生的国民，如今只剩疯狂。你必须在这暮色中扫清道路，才能继续寻找神子。
Template,DefeatCount,25,42025,被焚毁的村落,失去理智的武士,雨夜,7,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 7 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,25,42025,被焚毁的村落,失去理智的武士,雨夜,7,63,0.8843,3,3,0,True,False,边境警讯,雨夜，神子身边的侍从传令，7 名失去理智的武士正在被焚毁的村落为祸乡里。
LLM,DefeatCount,25,42025,被焚毁的村落,失去理智的武士,雨夜,7,165,0.5751,3,1,4207,True,False,雨夜焚村,雨夜，你潜入被火焚毁的村落。残垣断壁间，昔日守卫此地的武士已沦为饮下瀑布之水的怪物，在雨中嘶吼徘徊。他们失去理智，见人便攻。你必须在他们发现神子踪迹前，清除这些障碍。
Template,DefeatCount,26,42026,芦苇城下,手持火铳的雇佣兵,拂晓时分,5,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 5 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,26,42026,芦苇城下,手持火铳的雇佣兵,拂晓时分,5,69,0.8544,3,3,0,True,False,清剿之令,拂晓时分，芦苇之国边境传来急报，芦苇城下附近聚集了 5 名手持火铳的雇佣兵。
LLM,DefeatCount,26,42026,芦苇城下,手持火铳的雇佣兵,拂晓时分,5,135,0.4989,3,2,3914,True,False,拂晓之敌,拂晓的芦苇城下，雾气未散，手持火铳的雇佣兵在街道中巡逻。他们的火器声撕破了晨雾，也惊扰了神子的去路。这些被金钱驱使的亡命之徒，挡在了你与主人之间。
Template,DefeatCount,27,42027,被焚毁的村落,芦苇之国的叛兵,正午,2,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 2 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,27,42027,被焚毁的村落,芦苇之国的叛兵,正午,2,61,0.8491,3,3,0,True,False,边境警讯,正午，探子自前线归来，被焚毁的村落一带有 2 名芦苇之国的叛兵盘踞不去。
LLM,DefeatCount,27,42027,被焚毁的村落,芦苇之国的叛兵,正午,2,159,0.4787,3,3,3561,True,False,灰烬中的背叛,正午烈日下，被焚毁的村落冒出袅袅黑烟。叛兵们劫掠了这里，他们狂饮瀑布之水，眼中已无理智，只有对“不死”的执念。作为忍者，你必须在这片废墟中肃清这些堕落的守卫，为神子开辟道路。
Template,DefeatCount,28,42028,芦苇城下,侵略军的足轻,深夜,7,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 7 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,28,42028,芦苇城下,侵略军的足轻,深夜,7,52,0.8744,3,3,0,True,False,清剿之令,深夜，哨所燃起狼烟，探得 7 名侵略军的足轻埋伏于芦苇城下。
LLM,DefeatCount,28,42028,芦苇城下,侵略军的足轻,深夜,7,181,0.3812,2,2,4518,True,False,夜袭城下,芦苇城下，夜色如墨。侵略军的足轻们正围在篝火旁饮酒作乐，全然不知暗处的杀机。他们的喧哗声在夜风中飘荡，掩盖了你潜行的脚步。主子神子曾言，这些士兵不过是被人操纵的棋子，但挡在路上的敌人，必须清除。
Template,DefeatCount,29,42029,被焚毁的村落,失去理智的武士,大雪初霁,5,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 5 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,29,42029,被焚毁的村落,失去理智的武士,大雪初霁,5,66,0.8976,3,3,0,True,False,边境警讯,大雪初霁，芦苇城下传来骚动，已有 5 名失去理智的武士潜入被焚毁的村落。
LLM,DefeatCount,29,42029,被焚毁的村落,失去理智的武士,大雪初霁,5,229,0.5291,3,3,4928,True,False,雪烬中的敌影,大雪初霁，被焚毁的村落覆上一层惨白，掩盖了火烧的痕迹，却掩不住尸骸与血腥。那些饮下瀑布之水的武士，已完全失去理智，拖着残破的刀剑在废墟中游荡，口中念着疯狂的字句。他们不再是芦苇之国的守护者，而是不死的怪物。影子必须清除这些迷失者，才能为神子的道路扫清障碍。
Template,Fetch,30,42030,荒废的寺庙,封印用的符纸,正午,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,30,42030,荒废的寺庙,封印用的符纸,正午,2,56,0.9119,3,3,0,True,False,寻物之托,正午，长老差人前来，眼下急缺 2 个封印用的符纸，听说荒废的寺庙一带有。
LLM,Fetch,30,42030,荒废的寺庙,封印用的符纸,正午,2,159,0.3914,3,2,7849,True,False,正午的封印,正午时分，荒废的寺庙内光影斑驳，弥漫着腐朽的气息。传闻这里曾是僧侣们与不死怪物激战的战场，散落的封印符纸依旧残留着微弱的力量。你需要在阳光完全西斜前，找回这些可能助神子斩断不死的符纸。
Template,Fetch,31,42031,结冰的池畔,干粮袋,黄昏,5,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 5 件补给，请设法取得。
TemplateRandom,Fetch,31,42031,结冰的池畔,干粮袋,黄昏,5,55,0.8016,3,3,0,True,False,补给征集,黄昏，寺中僧人捎来口信，若能从结冰的池畔凑齐 5 个干粮袋便好。
LLM,Fetch,31,42031,结冰的池畔,干粮袋,黄昏,5,185,0.3791,3,3,4419,True,False,暮色孤粮,黄昏的寒风吹过结冰的池畔，那里似乎散落着一些干粮袋——或许这是神子逃亡途中留下的唯一补给。不死之水的诱惑让国人疯狂，但神子需要清醒的头脑来对抗这股诅咒。收集这些干粮，为即将到来的战斗积蓄力量。
Template,Fetch,32,42032,荒废的寺庙,药引,雨夜,4,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 4 件补给，请设法取得。
TemplateRandom,Fetch,32,42032,荒废的寺庙,药引,雨夜,4,49,1.0,3,3,0,True,False,寻物之托,雨夜，村口的老妪拦住了你，请设法在荒废的寺庙取得 4 份药引。
LLM,Fetch,32,42032,荒废的寺庙,药引,雨夜,4,179,0.3558,3,3,4804,True,False,雨夜药引,雨夜，荒废的寺庙在闪电中忽明忽暗。传言这里的药引能延缓“不死之水”的腐化，却也让饮者更加扭曲。神子嘱托你收集这些药引，以探寻斩断诅咒之法。雨水冲刷着石阶，你推开了腐朽的木门。
Template,Fetch,33,42033,结冰的池畔,火药壶,拂晓时分,3,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 3 件补给，请设法取得。
TemplateRandom,Fetch,33,42033,结冰的池畔,火药壶,拂晓时分,3,54,0.8614,3,3,0,True,False,补给征集,拂晓时分，村中医者托人带话，眼下急缺 3 个火药壶，听说结冰的池畔一带有。
LLM,Fetch,33,42033,结冰的池畔,火药壶,拂晓时分,3,135,0.5431,3,3,4271,True,False,结冰池畔的火药壶,拂晓时分，你来到结冰的池畔。水面如镜，倒映着微光。传说有不死者曾在此埋藏火药壶，用以炸毁瀑布下的不死之源。如今你需要收集这些火药壶，以助神子斩断不死。
Template,Fetch,34,42034,荒废的寺庙,供奉用的香油,黄昏,2,46,1.0,0,0,0,True,False,取物任务,芦苇之国物资匮乏，眼下需要 2 件补给，请设法取得。
TemplateRandom,Fetch,34,42034,荒废的寺庙,供奉用的香油,黄昏,2,73,0.9091,3,3,0,True,False,芦苇之国所需,黄昏，寺中僧人捎来口信，需要 2 份供奉用的香油，荒废的寺庙或许还能寻到。
